	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.adu.m.1.SmLE.PZQ.ER.RNA.adu.m.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.m.1.SmLE.PZQ.ES.RNA.adu.m.1_rsem.genes.results_Mean
gene:Smp_320800	0.00243721318812584	0.997562786811874	0.532994485726022	0.529580814024972	38.1602413174343	72.0663296300882
gene:Smp_320810	0.00167293160104032	0.99832706839896	0.649548558750205	0.648634056764861	130.949000414865	201.889667538332
gene:Smp_320840	0.962332916786298	0.0376670832137018	0.684605133379097	0.68238881513442	51.1519165227674	74.9647290519252
gene:Smp_320850	0.963706506688436	0.0362934933115638	1.87563240862103	1.87967970947516	214.245805256084	113.975273222909
gene:Smp_320860	0.969918441821062	0.0300815581789378	1.0133791695604	1.01346292971582	85.2787907912506	84.1458070754164
gene:Smp_320870	0.902472383328958	0.0975276166710421	1.65459477813743	1.6683578194768	41.7961071595944	25.0482379100814
gene:Smp_320930	0.915485601968065	0.0845143980319346	0.70105409986361	0.680545652133065	5.21648226822279	7.66984080398014
gene:Smp_320990	2.11018786980821e-05	0.999978898121302	2.30100696526776	2.314464752133	117.872395578796	50.9228973233041
gene:Smp_321000	1	2.29726782721303e-16	4.52375141839011	190.174912530399	1.89174912530399	0
gene:Smp_321020	0.955699538300638	0.0443004616993615	1.08143402102924	1.08263727032799	38.5934076044387	35.6468249241445
gene:Smp_321030	0.971367480142638	0.028632519857362	0.898160975804777	0.897952892213379	231.528040788419	257.840988393943
gene:Smp_321040	0.967094492785432	0.0329055072145685	0.894995349238707	0.894761584835498	211.743156032524	236.64874756062
gene:Smp_321050	0.981173494203134	0.0188265057968663	0.910164554545398	0.909993072550004	251.155329319085	275.997957527923
gene:Smp_321070	0.935725860832758	0.0642741391672416	0.773391856482554	0.768656219098834	19.3685654458697	25.2009655322752
gene:Smp_321080	0.944877148381189	0.0551228516188112	0.809439718784023	0.805934984804882	23.0771189428858	28.6363788992548
gene:Smp_321090	0.999999999999593	4.06976658229584e-13	2.03617113858797	2.06160222211795	44.2451591302567	21.4563908757296
gene:Smp_321110	1	2.57515407689577e-17	0.818102388150712	0.814819121158702	23.7734259881679	29.1785958129542
gene:Smp_321170	0.9951853120501	0.00481468794989972	1.63816426822824	1.71858739180371	7.17481474000856	4.17065137349103
gene:Smp_321180	0.961726907843615	0.0382730921563849	0.813417558577486	0.811764367092268	48.259188947797	59.4520691724826
gene:Smp_321220	0.999999999999999	7.54197706838807e-16	1.33791782469581	19.1413406733722	0.181413406733722	0
gene:Smp_321230	0.999999999999999	5.64584244099552e-16	1.44943070684544	25.127983095585	0.24127983095585	0
gene:Smp_321250	0.955779993219383	0.0442200067806168	0.86105495381478	0.860965637848486	705.644622820388	819.598346488469
gene:Smp_321260	2.69739786062928e-12	0.999999999997303	0.3389051497959	0.333584017862194	21.825210766403	65.4464055746318
gene:Smp_321270	0.981368759459727	0.0186312405402728	1.08089348420817	1.08127427509707	121.009476443213	111.913014567556
gene:Smp_321290	0.264781030828972	0.735218969171028	3.26548727339146	3.58257801168117	13.4754713838332	3.75418080495753
gene:Smp_321300	4.65183447317941e-14	0.999999999999953	5.32459575950998	5.40208191181906	158.835528309859	29.3945019869701
gene:Smp_321310	0.965173285494156	0.0348267145058443	0.865275197826268	0.864358196334531	66.8957853764535	77.3951610318265
gene:Smp_321320	0.99311725783258	0.00688274216741969	4.30306412655803	4.49326057972837	41.1019998476311	9.13970300923799
gene:Smp_321330	0	1	4.76005519938947	4.77400553770778	677.919925326927	141.994427932112
gene:Smp_321350	0.704854494453848	0.295145505546152	0.571257257812572	0.570633097094781	206.504101622219	361.893476460843
gene:Smp_321360	0.929389528090386	0.0706104719096138	0.766207733486755	0.760863781418703	17.5274685232016	23.0394195564169
gene:Smp_321370	0.999999999999999	1.37714600866481e-15	0.622155031712481	0.615512427746181	18.4360981395062	29.9586851280163
gene:Smp_321380	0.992285579758839	0.00771442024116087	1.12057407222293	1.12694397328965	11.228697271283	9.96272050577304
gene:Smp_321400	0.363132878410912	0.636867121589088	0.750971898832121	0.750221077554778	131.087211227335	174.73477210721
gene:Smp_321430	0.999376126555294	0.00062387344470623	0.969087920925808	0.96876143477189	48.3150926845676	49.8733778369249
gene:Smp_321450	0.934247483614317	0.0657525163856827	1.27854077320776	1.28997063220368	16.5522804112457	12.8292693583667
gene:Smp_321530	0.998618530895853	0.00138146910414695	0.929361462897083	0.927281432479339	16.5811305398009	17.8822277085178
gene:Smp_321540	0.990526530350681	0.00947346964931895	1.31296327443915	1.37843984916643	3.46126405000849	2.50825573100462
gene:Smp_321560	0.967278924970465	0.0327210750295348	1.20416085610276	1.20565728155063	86.6529907554621	71.8702864475736
