	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.f.1.SmLE.PZQ.ER.RNA.juv.f.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.juv.f.1.SmLE.PZQ.ES.RNA.juv.f.1_rsem.genes.results_Mean
gene:Smp_342810	0.95711821372792	0.0428817862720796	0.880726771148825	0.880450406617932	186.20341457898	211.487902868011
gene:Smp_342820	0.999999999999999	7.10014632683806e-16	0.816979910945235	0.815743333473307	59.1565653203173	72.5208597600121
gene:Smp_342830	0.538192276289025	0.461807723710975	0.847880953210424	0.847787814973446	678.549829748634	800.378750302913
gene:Smp_342840	0.976842998365236	0.0231570016347643	0.949970441618914	0.949912776002872	403.857453045733	425.152670982448
gene:Smp_342850	0.971463698810406	0.0285363011895937	0.929070257415777	0.928888230488407	177.36875366818	190.948123750707
gene:Smp_342860	0.999999999999999	1.35078569720825e-15	1.05020871546906	1.07397161117723	1.10203368706968	1.02544048603922
gene:Smp_342870	0.991812747388712	0.00818725261128815	0.961868847063394	0.961852809123974	1120.67969679794	1165.12637655083
gene:Smp_342880	0.991483231636932	0.00851676836306797	0.989098389789426	0.989096180612153	2391.89541096918	2418.26383206436
gene:Smp_342890	0.999999999998891	1.1087538337011e-12	0.866310463119719	0.866223089058799	649.506288556899	749.815647412188
gene:Smp_342900	1	2.08026506474215e-16	0.963057975592982	0.962714815392599	50.7786684449766	52.7456734693698
gene:Smp_342910	0.99999999999999	1.04004498559799e-14	1.11319892975368	1.1133089452209	561.360601546185	504.226136748907
gene:Smp_342920	0.885048743776875	0.114951256223125	0.769649431119258	0.76880724660274	103.03926489264	134.027842837723
gene:Smp_342930	1	8.34259164528728e-17	0.964467013900084	0.964446595562414	822.48809732038	852.808705675189
gene:Smp_342940	1	2.58370108721125e-16	1.08855315184856	1.0893661699295	58.1364355419868	53.3663918387054
gene:Smp_342950	0.952257718869455	0.0477422811305447	0.926359456330602	0.926322740745756	910.478059967215	982.895870619356
gene:Smp_342960	1	3.53137646696709e-16	0.878291121025887	0.876874662685014	36.9133732813542	42.0979258560098
gene:Smp_342970	0.96926745668299	0.0307325433170097	1.05191261083203	1.05191818151602	4803.86505484219	4566.76633227982
gene:Smp_342980	0.765088194407575	0.234911805592425	0.895604325779641	0.895541086931151	724.475102162569	808.981472010783
gene:Smp_342990	1	2.05362388607222e-16	0.93549458852569	0.935279389978392	137.376345771028	146.883374582116
gene:Smp_343020	0.984444154970781	0.0155558450292187	0.58098258395188	0.517688752305649	1.66951856765447	3.23426319902517
gene:Smp_343030	1	3.94935805724482e-16	0.922880178448961	0.922786732563693	373.199395431552	404.427322581241
gene:Smp_343040	0.999999999999999	6.3691923779428e-16	0.851296134216395	0.850344705891791	65.12082628713	76.5834400906567
gene:Smp_343050	0.901562450871496	0.0984375491285042	0.88571249142342	0.885582052387574	380.236639938053	429.364826322291
gene:Smp_343060	0.936170676109395	0.0638293238906054	1.03823808426482	1.06328422208188	0.785518205238451	0.738170798284628
gene:Smp_343070	0.999999999999998	2.24325824177816e-15	0.688513183493366	0.558097690753792	0.643229970968383	1.16045811475425
gene:Smp_343080	0.999999999999992	8.40421583417422e-15	2.04724106628704	53.3678803492301	0.523678803492301	0
gene:Smp_343090	0.219823939282495	0.780176060717505	0.734996964655747	0.733790045158979	78.9468392157927	107.591404157352
gene:Smp_343100	0.850101443247903	0.149898556752097	0.660853437062808	0.656282758595914	23.8539943375822	36.3523667161972
gene:Smp_343110	0.825661654538161	0.174338345461839	0.821996404197756	0.821599827545568	180.710477763387	219.951679280372
gene:Smp_343120	0.995381086121435	0.00461891387856458	0.980362612976174	0.980360870035785	5412.92145765786	5521.35628776328
gene:Smp_343130	0.945556288585956	0.0544437114140436	0.908353882963631	0.908244514162568	372.955614992235	410.634500656436
gene:Smp_343140	0.819571461622576	0.180428538377424	0.63262893993369	0.538862541743092	1.02462054019062	1.91000827677475
gene:Smp_343150	1.28708353852591e-06	0.999998712916461	1.25245249320417	1.2525222982066	2219.84177842947	1772.29519696769
gene:Smp_343160	0.999999999999999	6.8255487973928e-16	0.885363932065532	0.885014106664271	142.113379798395	160.578829859533
gene:Smp_343170	0.969285143459874	0.0307148565401263	0.877983199534876	0.877667474706602	166.211154575294	189.379671334078
gene:Smp_343180	0.961492804638288	0.0385071953617121	0.925728984278299	0.925710726572492	1845.40415689909	1993.50061182133
gene:Smp_343190	0.993243595827111	0.00675640417288928	1.05047295715636	1.05055303099303	324.502541669832	308.886868693139
gene:Smp_343200	1	3.76774068213103e-16	0.934454073996694	0.934371259061771	362.40144392475	387.856643381838
gene:Smp_343210	0.984923078762739	0.0150769212372609	1.49432098222261	1.49476816782572	809.720440085442	541.699716272103
