	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.m.1.SmLE.PZQ.ER.RNA.juv.m.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ER.RNA.adu.m.1.SmLE.PZQ.ER.RNA.adu.m.1_rsem.genes.results_Mean
gene:Smp_170840	1.39959842281323e-05	0.999986004015772	0.0391072706306695	0.0128979650710736	0.241050730959425	19.4543674080385
gene:Smp_170890	0.999999999999998	1.612261391713e-15	0.296718263661085	0.00773954832555804	0	1.28206506366494
gene:Smp_170910	0.733744229809564	0.266255770190436	1.07746274953975	1.07751757434566	808.268576678181	750.120295711438
gene:Smp_170930	0.712884614025647	0.287115385974353	1.11435535703092	1.11475577359894	169.012727665587	151.613101372155
gene:Smp_170940	0.631962129898918	0.368037870101082	1.17207806403423	1.17236069591285	378.944018407656	323.230125439881
gene:Smp_170950	0.651125196933449	0.348874803066551	0.820019852891402	0.819699123484707	244.198734299764	297.914844986516
gene:Smp_170980	6.9173813475043e-06	0.999993082618652	0.193176457284263	0.189613913264634	22.7886653965312	120.227302231679
gene:Smp_171000	0.337271627939911	0.662728372060089	0.632728539085036	0.627533664636808	23.544292077056	37.5247067486623
gene:Smp_171010	0.784692532238539	0.215307467761461	0.839242894076143	0.838838391675469	176.979814876973	210.98393713187
gene:Smp_171020	0.987779004701416	0.0122209952985842	1.02478994921794	1.02479182211656	7201.40635910605	7027.18928446793
gene:Smp_171030	1	3.2337475771772e-16	1.1243398242831	1.1248076729725	158.699894448582	141.089583744094
gene:Smp_171040	0.875691429531657	0.124308570468343	1.08568547801169	1.08573306497273	1037.90841474912	955.950952313071
gene:Smp_171060	0.412332366795504	0.587667633204496	0.305639327676922	0.189657221870421	0.592815499722485	3.16844737878922
gene:Smp_171070	0.000125700977701371	0.999874299022299	1.62666997029371	1.6272606602324	916.542478776206	563.238716800728
gene:Smp_171080	3.35799166251149e-10	0.999999999664201	0.547850227325748	0.547583360123192	492.548997364159	899.504180367617
gene:Smp_171090	0.896468877604935	0.103531122395065	1.05132878749875	1.05146942156024	203.735503864156	193.762162733772
gene:Smp_171120	0	1	1.71372090043532	1.71471379589966	654.38116979121	381.622883199536
gene:Smp_171130	7.58367630970813e-06	0.99999241632369	15.2961626729676	29.9087991761582	15.5249828191663	0.50941178673432
gene:Smp_171140	0.958227946177069	0.0417720538229306	1.25185519428656	1.25193164324798	2189.67094698543	1749.03193754906
gene:Smp_171150	0.0587135462337028	0.941286453766297	1.19174520450472	1.19202304781055	436.737197175633	366.381571016877
gene:Smp_171170	1.68392910726567e-09	0.999999998316071	1.70896806454055	1.70954196245643	1121.21478958031	655.852689658246
gene:Smp_171180	6.85395569689495e-05	0.999931460443031	0.681184174114786	0.680735276136042	256.669614658565	377.052308443185
gene:Smp_171190	0.970906656030374	0.029093343969626	0.995965815996617	0.995965261462509	3846.72731722998	3862.31077169168
gene:Smp_171200	0.987947531838702	0.0120524681612981	1.01531698326261	1.01533634271815	426.482040600481	420.040009693064
gene:Smp_171270	0.470382527355848	0.529617472644152	0.704356088808707	0.702970392222565	79.6167016198393	113.261771472601
gene:Smp_171280	7.01154063309506e-05	0.999929884593669	0.765880579862287	0.765524410873564	267.143753893104	348.971365059602
gene:Smp_171370	0.00015947588974019	0.99984052411026	0.357256531417731	0.35552720948649	70.1445054565739	197.315278022749
gene:Smp_171460	0.0597988327913278	0.940201167208672	2.06553891757362	2.07418911702906	135.637703833445	65.3879440542714
gene:Smp_171490	6.49358538671319e-05	0.999935064146133	1.47937056407458	1.47969312431408	1167.47977554459	788.998042519481
gene:Smp_171530	0.993804270868742	0.00619572913125812	1.04450560569235	1.04453431826811	859.5697494963	822.921075085712
gene:Smp_171540	5.59272805844557e-09	0.999999994407272	1.50255345582015	1.50267354075826	3338.70435994984	2221.83943661489
gene:Smp_171550	7.7715611723761e-16	0.999999999999999	0.458949732024566	0.457959014951111	132.770861494334	289.930490653969
gene:Smp_171580	0	1	2.92118076976773	2.9279512084182	441.089087700823	150.641105944871
gene:Smp_171600	0.067743697888317	0.932256302111683	1.13502294533472	1.1350615582536	2107.23610869439	1856.49381106782
gene:Smp_171610	0.317469525505889	0.682530474494111	0.441331994550489	0.437974288636451	38.6783903523807	88.3248437480874
gene:Smp_171620	0.184285712963966	0.815714287036034	1.0784150674335	1.07843472390727	2284.05612283393	2117.93564121464
gene:Smp_171630	0.635322335706637	0.364677664293363	1.12318843917013	1.12334038730858	483.501538595783	430.412999171456
gene:Smp_171640	6.72373268173487e-11	0.999999999932763	1.58562408834934	1.58601826084641	1251.00263883814	788.765684190742
gene:Smp_171660	3.62487817540114e-13	0.999999999999638	0.612498625235278	0.612051464802123	281.580968550455	460.067272491282
gene:Smp_171670	0.00731340310777173	0.992686596892228	0.911671835073055	0.911644602628601	1569.84321550685	1721.99132703073
gene:Smp_171680	0.91259259026559	0.0874074097344095	0.979475877584305	0.97945379380922	483.26700824875	493.404810686704
gene:Smp_171710	0	1	1.65660566259231	1.65713768023533	1085.81061290407	655.228623715245
gene:Smp_171720	0.93960338005975	0.0603966199402497	1.0117826476384	1.01178904896661	988.733564755138	977.21303454953
gene:Smp_171730	0.999999999999995	5.09813450154134e-15	1.83167647578835	1.88104237101114	16.8146825689829	8.93434002565232
gene:Smp_171740	6.92356568854358e-07	0.999999307643431	1.51762375776685	1.51827097923265	644.65112226473	424.592150131692
gene:Smp_171750	0	1	2.16595835575444	2.16655959796508	2230.6075602445	1029.55667443609
gene:Smp_171770	0.908301146393376	0.0916988536066245	1.08065515362223	1.08074734153748	501.989408221478	464.48284576294
gene:Smp_171780	7.67371721721588e-11	0.999999999923263	0.606193568457489	0.606181046335915	10121.099936619	16696.5033565235
gene:Smp_171790	0.00190399209768977	0.99809600790231	1.322475740415	1.32258996396562	1982.37277714685	1498.85422183556
gene:Smp_171820	0.944329853756522	0.055670146243478	1.17078999631404	1.17080853278984	5727.1859194092	4891.64884857556
gene:Smp_171860	0.942490283736552	0.0575097162634484	0.884235271144522	0.884196689262329	1408.50875183658	1592.98256482365
gene:Smp_171870	0.999999999999998	1.77981194734958e-15	1.08622835164953	1.08627904432922	980.985774674324	903.068983061932
gene:Smp_171880	0.00909558142340572	0.990904418576594	1.25580359135374	1.25587405282502	2420.58380995293	1927.40764550986
gene:Smp_171940	1	3.42113668506209e-16	1.08453337765952	1.08461706875517	581.619337016248	536.243165998756
gene:Smp_172030	0.900320638383155	0.0996793616168454	1.07832997150853	1.07838546190734	808.164321520732	749.419911723135
gene:Smp_172040	1.03617114888266e-12	0.999999999998964	2.1900565917094	2.19260134462519	544.370512553062	248.270661638526
gene:Smp_172050	0.31726068421045	0.68273931578955	1.13014174626302	1.13026792960637	618.884901755525	547.55477251466
gene:Smp_172060	0.0462527906125405	0.953747209387459	0.861119624879019	0.860998143211745	522.570563052874	606.93737517495
gene:Smp_172070	0	1	1.54410625614543	1.54437784517556	1642.64348191896	1063.62445127784
gene:Smp_172090	0.998445080615067	0.00155491938493292	0.706189259960043	0.705790444617257	276.043008283251	391.116021028737
gene:Smp_172110	0	1	1.42603330529124	1.42611301083104	4046.95908447251	2837.75184196946
gene:Smp_172120	1.43108230155065e-07	0.99999985689177	0.463898782254126	0.462809288229022	120.895179915783	261.231904583283
gene:Smp_172130	0.005683689627623	0.994316310372377	1.23849207893	1.23885747723468	429.278918743641	346.510020770976
gene:Smp_172140	0.0903100275399924	0.909689972460008	0.539268929091751	0.538917998798749	375.62861551497	697.013696280827
gene:Smp_172150	0	1	0.324111162461859	0.322870624226967	93.3830488986289	289.248427031679
gene:Smp_172160	9.80366383451781e-06	0.999990196336165	1.2290260983601	1.2292316163864	727.249958003815	591.627855965467
gene:Smp_172170	0.909163803458435	0.0908361965415652	0.912449727559867	0.839035021809686	0.521221236997407	0.623133567954809
gene:Smp_172180	0.66244880665121	0.33755119334879	0.760328880671559	0.760310878612512	5374.08856207758	7068.28102838137
gene:Smp_172190	0.000284102265422304	0.999715897734578	1.31438705419082	1.31462834258585	909.384056273417	691.739924153204
gene:Smp_172200	1.76814118901802e-11	0.999999999982319	1.71324085548414	1.71455057032161	495.703406182013	289.11148452351
gene:Smp_172210	0.910380542411927	0.0896194575880729	0.873072232527309	0.872726420982389	170.055483346526	194.856889849732
gene:Smp_172220	0.999999999999987	1.34847523972314e-14	1.11037409461903	1.11043392578952	1087.55012856372	979.391028107521
gene:Smp_172240	0.00093006191105971	0.99906993808894	0.822524581008665	0.822439634731628	912.250335598574	1109.20251490543
gene:Smp_172250	0.975485268505249	0.0245147314947513	0.975965564234551	0.975961518161017	3077.88467282875	3153.69495204397
gene:Smp_172270	0.178207869181308	0.821792130818692	1.10696996807207	1.1070220864749	1206.26951855614	1089.65165471667
gene:Smp_172280	0.210193304167175	0.789806695832825	1.06915651840521	1.06916766034586	3523.20377106593	3295.27651280587
gene:Smp_172340	0.148462841299322	0.851537158700678	0.624145225824617	0.621344605103329	44.2609871257048	71.2402961514288
gene:Smp_172360	0.783079926791903	0.216920073208098	0.829624974878672	0.829129781993994	151.44197904139	182.653778735772
gene:Smp_172370	0.999999995959652	4.04034761480237e-09	2.19768031449717	2.22155906498398	59.1472638470122	26.6187152925367
gene:Smp_172400	1.07881692468226e-09	0.999999998921183	1.58972338203102	1.59011123686548	1283.58360729274	807.22510250958
gene:Smp_172420	6.88338275267597e-15	0.999999999999993	1.75372053198768	1.75398997242396	2604.91713422357	1485.13368678154
gene:Smp_172440	5.14880044821808e-07	0.999999485119955	0.124841261794521	0.093139622090894	1.35508746767932	14.6463560924388
gene:Smp_172460	0.788919416669053	0.211080583330947	1.1020565314149	1.10271455862091	90.7889785643688	82.3313256445304
gene:Smp_172470	0.999999999986083	1.39165074626935e-11	0.64934045584498	0.647394000410265	61.9099746679393	95.634962153958
gene:Smp_172480	0.523517789936593	0.476482210063407	0.87828227488377	0.878204831520458	732.791489831981	834.421175427792
gene:Smp_172490	0.945066057117788	0.0549339428822125	1.00855752904949	1.00856363654481	750.245944919522	743.875579188425
gene:Smp_172510	0.000337972979283063	0.999662027020717	0.805546788793899	0.805399667642905	565.151217588293	701.705235669642
gene:Smp_172520	0.747801665902859	0.252198334097141	0.854665210392001	0.854509124536737	422.409193289179	494.331348921451
gene:Smp_172530	0.111296413565921	0.888703586434079	1.2068082277176	1.20714742643422	390.736256279831	323.683898295465
gene:Smp_172540	0.00744694340368734	0.992553056596313	1.22631597640416	1.22658911407202	539.567240715442	439.890562075069
gene:Smp_172580	0.0106115224525946	0.989388477547405	2.21147755402356	2.21241340948631	1520.51573443453	687.260167462768
gene:Smp_172590	0.96221867127054	0.0377813287294603	0.884014131415475	0.883998446300836	3470.47190321806	3925.88140596409
gene:Smp_172610	0.0279741052342481	0.972025894765752	0.455926232664695	0.453823325843688	62.3269388511264	137.349486172814
gene:Smp_172640	0.000214245551477199	0.999785754448523	3.13869162996	3.18464102482437	78.6854746940307	24.70094044214
gene:Smp_172660	0.938040665060351	0.0619593349396489	0.97180122406737	0.971785413463236	920.170590062509	946.88689443185
gene:Smp_172700	0.999999999999109	8.9099456474345e-13	1.18630068471613	1.18655978189474	452.952544493087	381.734393670397
gene:Smp_172730	0.0038231286712147	0.996176871328785	1.28674127610989	1.28683923718203	1999.76842715298	1554.01350920863
gene:Smp_172780	0.100691114014355	0.899308885985645	1.45739175247911	1.45786152891384	753.578526830867	516.903651869473
gene:Smp_172790	0.744817440524362	0.255182559475638	0.890551861297549	0.890448915196629	502.596831788015	564.432073217675
gene:Smp_172810	5.89062466080925e-05	0.999941093753392	0.769431555700028	0.769323389900229	870.632253920219	1131.68866580182
gene:Smp_172850	0	1	0.737393354726639	0.73731280266457	1276.13999981221	1730.80220779069
gene:Smp_172990	0.783416024615848	0.216583975384152	0.839403392306749	0.839348036567246	1292.80591498901	1540.25203513426
gene:Smp_173000	0.00399354985927447	0.996006450140726	0.484745167831459	0.482125070003874	50.3267511495258	104.396002262279
gene:Smp_173010	0.0190129658838568	0.980987034116143	0.422860990314864	0.421486580893397	93.9556146969909	222.928567813519
gene:Smp_173020	0.78664670228712	0.21335329771288	1.12005197484665	1.12028685162605	303.994046651659	271.352683771938
gene:Smp_173060	0.579097289899129	0.420902710100871	1.0894781444428	1.08949714108752	2724.49158178206	2500.6864029869
gene:Smp_173100	1.40779234667487e-05	0.999985922076533	0.846911160352949	0.84686415599246	1464.32362460417	1729.114575934
gene:Smp_173110	0.974963897067208	0.0250361029327919	1.17121074229616	1.17125473215383	2420.18696716362	2066.31844309889
gene:Smp_173120	2.50001679358292e-06	0.999997499983206	0.639148015890373	0.638769288297876	323.1124091567	505.841510202881
