	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ES.RNA.juv.f.1.SmLE.PZQ.ES.RNA.juv.f.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.f.1.SmLE.PZQ.ES.RNA.adu.f.1_rsem.genes.results_Mean
gene:Smp_035480	5.8978821826372e-11	0.999999999941021	0.439832526401344	0.439714181575577	827.768805388611	1882.52833984278
gene:Smp_035500	0	1	7.72701290037586	7.87038394021217	146.859616611733	18.6510485241173
gene:Smp_035540	0.520626943629442	0.479373056370558	0.958293583685075	0.958249940727535	364.192328605924	380.060285555572
gene:Smp_035550	0.99999999999122	8.77986971230408e-12	0.817335395487167	0.815186040873582	27.5435954681229	33.7903769527204
gene:Smp_035560	0.0355412280257423	0.964458771974258	1.45365587251974	1.45373682569523	3240.05450670594	2228.77340111968
gene:Smp_035580	0	1	1.56632784469896	1.5664679356161	2518.56369447004	1607.79417984073
gene:Smp_035620	1.22589099982306e-07	0.9999998774109	0.836736258884271	0.836662687690666	738.416986518865	882.576252958228
gene:Smp_035650	0	1	15.3513520046694	15.8066361647136	198.154086454757	12.5267652161903
gene:Smp_035700	9.53001921821794e-08	0.999999904699808	1.45499463093838	1.45538432056143	675.824470900702	464.358388028249
gene:Smp_035730	2.22044604925031e-15	0.999999999999998	0.572080818834143	0.57181737001255	369.390989122153	646.002185873342
gene:Smp_035790	0	1	0.167184693161976	0.167154965517349	1862.43174374649	11141.9966881183
gene:Smp_035800	0	1	0.194729217259017	0.19466913614588	1037.70068876057	5330.62797017591
gene:Smp_036010	0	1	3.49359572025164	3.49767459397064	850.423585693753	243.132568825512
gene:Smp_036020	0	1	2.9541509391971	2.95927741011347	448.632594516475	151.595453744626
gene:Smp_036060	0	1	0.733093024061026	0.733021938783226	1094.6328618988	1493.31892234555
gene:Smp_036130	0.0333652349609839	0.966634765039016	1.16970091968881	1.16975252648248	1529.83181516383	1307.82373451148
gene:Smp_036180	0.638971394655063	0.361028605344937	1.11967604234431	1.11971758061043	1283.03700783212	1145.85662748712
gene:Smp_036220	0	1	0.442343886575589	0.442300119266851	2241.33596815307	5067.46764813693
gene:Smp_036250	0	1	0.342242535707908	0.342111732915769	684.203999839705	1999.96233070099
gene:Smp_036270	0.00182643001382743	0.998173569986173	0.774368264952263	0.774352406142215	4381.69822320947	5658.53537088472
gene:Smp_036370	0	1	1.42844281959569	1.42867377373205	1054.07446575093	737.796268394916
gene:Smp_036390	6.28386231937839e-14	0.999999999999937	0.577878148916445	0.577730944473784	658.887353592751	1140.48171140192
gene:Smp_036400	0.000284982466823847	0.999715017533176	0.821625457617884	0.821587118305665	1520.24833207332	1850.38212300274
gene:Smp_036500	0.0794811029348601	0.92051889706514	1.16159151857468	1.16167617575158	881.881344148949	759.144196803931
gene:Smp_036550	0.99999999999658	3.42018842869249e-12	1.08710883722355	1.08726043290097	248.465857993741	228.523891673746
gene:Smp_036590	0.344585761021591	0.655414238978409	1.08683367793095	1.08685117892797	2144.71049991264	1973.32410635677
gene:Smp_036630	0	1	0.435224136905965	0.434635575735353	165.866555739836	381.635141355933
gene:Smp_036670	0	1	6.4315169574764	6.51401614160461	170.557205122028	26.1746457568052
gene:Smp_036720	0	1	15.7480322112392	16.7480956071882	98.2206898455055	5.85518563957476
gene:Smp_036780	0	1	0.251810114068097	0.251429592088143	196.608189528349	781.990988409594
gene:Smp_036920	1.66047781968715e-07	0.999999833952218	0.651176129866724	0.650878804790929	303.693644849349	466.595522585581
gene:Smp_036940	0	1	0.301337724375788	0.301242821306959	882.011072341696	2927.93055146277
gene:Smp_036950	0	1	0.70565819585784	0.705615838916065	1950.15289567476	2763.76426372757
gene:Smp_036980	0	1	0.388414925783001	0.38723000728204	79.480022237893	205.268570211622
gene:Smp_036990	0.000469984003112822	0.999530015996887	1.44678173028961	1.44694111936516	1613.09608466204	1114.82878858165
gene:Smp_037120	0	1	0.554494935780571	0.55429092060348	481.386745715197	868.481125907458
gene:Smp_037190	7.83817455385361e-14	0.999999999999922	0.527578258644452	0.527400859600282	558.581921608857	1059.13109057808
gene:Smp_037230	0	1	12.8421666805675	12.8473855226856	11594.3554274371	902.458864732366
gene:Smp_037290	0	1	0.418793361733357	0.418613266701284	537.290243785465	1283.5141654414
gene:Smp_037400	0.117041920779368	0.882958079220632	0.88196536305004	0.881860586970073	395.104049298909	448.035932811733
gene:Smp_037460	0	1	0.379974777493484	0.379860931379593	822.783764357527	2166.02945388454
gene:Smp_037530	0	1	0.388986685549669	0.388896289579105	1045.45769635714	2688.28434574607
gene:Smp_037540	1.40998324127395e-14	0.999999999999986	0.419212084792838	0.419184658167761	3530.40530813692	8422.09047373448
gene:Smp_037590	1.04708604050652e-05	0.999989529139595	0.787355562729054	0.787288580439158	994.028497991115	1262.60008058396
gene:Smp_037640	3.90954514317698e-08	0.999999960904549	0.775050443079775	0.77495996117838	766.253087983522	988.767648355364
gene:Smp_037690	0.342596815057869	0.657403184942131	1.25327927982435	1.27268557069951	6.59622654946564	5.18077665493972
gene:Smp_037700	0	1	0.30764479818177	0.307593718841764	1658.1879041796	5390.86049769254
gene:Smp_037780	0	1	3.02802624461543	3.02939885471564	1780.14596647297	587.616803813547
gene:Smp_037900	7.55393525508907e-11	0.999999999924461	0.578865781932979	0.578556573720629	313.383914831011	541.67240249283
gene:Smp_037910	2.22044604925031e-16	1	0.752762619776951	0.752709266744861	1387.24885879182	1843.0108316567
gene:Smp_037930	0	1	0.422933582152769	0.422792056290134	685.623495794097	1621.67017490752
gene:Smp_037960	0	1	8.53190681447049	8.55766235259179	995.31445304633	116.297983656878
gene:Smp_038030	0	1	0.130850531833203	0.130801566611306	923.400703147629	7059.620301613
gene:Smp_038080	3.42180284107485e-10	0.99999999965782	0.831493959477907	0.831463597153185	1835.25553834827	2207.2610634981
gene:Smp_038100	0	1	0.733162573280598	0.733153846966769	8916.32239973789	12161.6016953173
gene:Smp_038140	0.000108692186962411	0.999891307813038	0.742922553687984	0.742822837288266	761.644217558818	1025.34110570819
gene:Smp_038210	5.07461222450933e-05	0.999949253877755	1.2009730985814	1.20102475200124	1858.50479530176	1547.43087680538
gene:Smp_038240	0	1	0.359083102237163	0.358979797635229	885.772872402048	2467.49061768691
gene:Smp_038300	0	1	0.285954937016298	0.285725794554967	354.105317432823	1239.34368868035
gene:Smp_038330	0.99999999985062	1.49380340089519e-10	1.13390799452958	1.13402059252558	536.369291690728	472.979022620972
gene:Smp_038340	2.22044604925031e-16	1	1.45309931367428	1.45334654007524	1059.34849985546	728.899775228568
gene:Smp_038410	0.0428911101721382	0.957108889827862	0.6044997190537	0.602663366137035	51.6126930367969	85.6475925092132
gene:Smp_038420	0	1	0.512263086783	0.512074115556379	525.641591385346	1026.5046692959
gene:Smp_038440	0	1	7.3735785127349	7.39140631986606	1050.95367763374	142.177241798498
gene:Smp_038510	0	1	0.208289950371831	0.208272091411429	3672.10503940866	17631.3251180337
gene:Smp_038530	2.07973246371118e-05	0.999979202675363	1.22175907574882	1.22194042718615	594.262523672149	486.325103128246
gene:Smp_038540	0.492680185336636	0.507319814663364	1.11118621705131	1.11145624384213	182.006888453	163.754331219911
gene:Smp_038560	1.33226762955019e-15	0.999999999999999	0.577793949679901	0.577744763940252	1972.39675332933	3413.96599153889
gene:Smp_038630	0.999870160000962	0.00012983999903801	0.713424650659098	0.712985625854858	185.089720789628	259.602135332597
gene:Smp_038680	0	1	0.323418779245029	0.323267293825547	574.220280043448	1776.32274695996
gene:Smp_038700	0	1	0.495973019167167	0.49589043648617	1203.71077673705	2427.38260161276
gene:Smp_038710	7.58304530279474e-12	0.999999999992417	0.765673352692668	0.765588206842821	837.96033776617	1094.53446956784
gene:Smp_038820	0.00783369826390767	0.992166301736092	0.816394034803419	0.816168101378327	263.781704786983	323.197565134557
gene:Smp_038830	0	1	1.76843892576605	1.76916122066236	748.56865245468	423.116306247217
gene:Smp_038840	0	1	0.585525544891788	0.58519927880714	295.658349516713	505.233872001001
gene:Smp_038870	1.07617359468293e-10	0.999999999892383	1.51935054197176	1.51948078829058	2409.70433763703	1585.87009549496
gene:Smp_038930	3.35032002141133e-12	0.99999999999665	0.710375284770395	0.710301261761958	1105.30659624882	1556.11365590763
gene:Smp_038940	0	1	0.600996998739686	0.600734555934194	363.234729777178	604.657612656809
gene:Smp_038950	0.0239487073151526	0.976051292684847	1.17010000096345	1.17010485006895	16324.594915961	13951.3935131117
gene:Smp_038960	0	1	2.96269873588539	2.96299640604591	7770.05554846209	2622.35752383753
gene:Smp_038980	0	1	0.368758862510471	0.368511090672469	373.385543972247	1013.24456254482
gene:Smp_039000	0	1	0.537130135011388	0.537085057044132	2193.36490107724	4083.84016918653
gene:Smp_039080	0.75060452541911	0.24939547458089	0.944913867345472	0.944898598714241	1355.8117581485	1434.87598670103
gene:Smp_039130	0.481177278891709	0.518822721108291	1.18695430008998	1.18698484080293	2889.84915548119	2434.61178803089
gene:Smp_039160	0	1	3.93674014066443	3.93887282762572	2157.16600841566	547.653279018827
gene:Smp_039180	0.221760607737122	0.778239392262878	1.06189724059326	1.06191010446688	2032.17150214704	1913.69389414204
gene:Smp_039300	0	1	5.92026749116385	5.92765146650105	1570.91826301691	265.006975423522
gene:Smp_039390	8.22675261247241e-14	0.999999999999918	0.685439814432103	0.685130468914829	277.072070215804	404.412344045904
gene:Smp_039400	0	1	0.211524319589118	0.211513255646143	5995.01751407249	28343.4973407504
gene:Smp_039470	0.999999999988552	1.14481186813247e-11	0.861233301899271	0.837420967125282	1.93089625526162	2.30770678243748
gene:Smp_039490	0.83609362276054	0.16390637723946	1.00347214768158	1.00347269997126	2509.05574107466	2500.37266227524
gene:Smp_039590	0.00120369525436792	0.998796304745632	2.2346828211215	2.24535479589494	103.306766921831	46.0035596880809
gene:Smp_039600	0.607236420683045	0.392763579316956	4.0613743560897	4.20230699158972	36.2951185296831	8.62933039693252
gene:Smp_039640	0.108351462463596	0.891648537536404	0.837779620924272	0.837744244540307	1527.83269661841	1823.74791487148
gene:Smp_039650	0	1	2.45672670126958	2.46041922436095	386.036117712374	156.892577369774
gene:Smp_039670	0	1	1.66816171098586	1.66852884088827	1207.72252022379	723.820772730804
gene:Smp_039740	0	1	0.502935173383326	0.502789231738394	681.065064490743	1354.58357817972
gene:Smp_039750	3.16194070926201e-10	0.999999999683806	1.60327463253192	1.60436773294735	352.145227858563	219.487824985315
gene:Smp_039810	0	1	7.49944258098118	7.50444541099355	3877.51123006993	516.686573525553
gene:Smp_039820	0	1	0.519485224164865	0.519438714408112	2134.37229809487	4109.00659597504
gene:Smp_039870	0	1	3.39301607960092	3.39498177160002	1643.76666290535	484.168347187607
gene:Smp_039970	0	1	0.381829985243722	0.381518483664265	301.109223714609	789.255098829634
gene:Smp_039980	0	1	0.485972308717279	0.48574788496549	442.480378861608	910.936588873042
gene:Smp_040020	7.66053886991358e-15	0.999999999999992	0.448307649043364	0.447084619715882	80.199357574853	179.395316214692
gene:Smp_040080	1.00322847473855e-07	0.999999899677153	0.875847959409246	0.875832717674931	2837.35924198495	3239.61462776831
gene:Smp_040100	0	1	0.172538183354458	0.172354076999884	308.078835937354	1787.5243670435
gene:Smp_040110	0.235932895225552	0.764067104774448	0.764591003789349	0.763303922955977	55.5151759714385	72.733207916987
gene:Smp_040130	0	1	0.580292694796461	0.58028610025215	14688.5466375683	25312.601539697
gene:Smp_040190	0	1	2.53559888068006	2.53602293011498	3652.48551071861	1440.23545967059
gene:Smp_040270	0	1	0.556233937450009	0.556169878385199	1532.33364946603	2755.16195198539
gene:Smp_040280	0	1	0.638407735143906	0.638284487933252	744.77605956847	1166.84596101523
gene:Smp_040350	2.79345102605077e-10	0.999999999720655	0.596172597598296	0.595681016133989	194.610804265193	326.709836613723
gene:Smp_040360	0	1	0.501672390494036	0.50135008959989	308.287322434479	614.924212299674
gene:Smp_040390	0.999999999928979	7.1021178487778e-11	2.10617846512076	46.1008840959914	0.451008840959914	0
gene:Smp_040460	0.00182367935555072	0.998176320644449	1.285313050368	1.28540750176973	1544.2814831341	1201.39226426868
gene:Smp_040500	0	1	1.6473152032633	1.64745979719718	2933.285229276	1780.48578767652
gene:Smp_040510	0.739902926808687	0.260097073191313	1.01705202441755	1.01705771125368	1212.89293252244	1192.5505785215
gene:Smp_040550	0	1	2.00582158832898	2.0072372132383	567.203650080813	282.574263753122
gene:Smp_040560	1.25647491966419e-07	0.999999874352508	0.458854885020176	0.458386405789358	210.576412688968	459.398067144423
gene:Smp_040570	1.43862528489969e-06	0.999998561374715	1.20398125963998	1.20400444370453	4213.11164459497	3499.24755392719
gene:Smp_040610	0.287516554259078	0.712483445740922	1.20343156765276	1.20412901402433	139.676927327421	115.996611999632
gene:Smp_040710	3.19988480157463e-12	0.9999999999968	0.558011987900001	0.557363133777451	150.989975924967	270.908485228088
gene:Smp_040720	0	1	4.20205847899201	4.2070373371589	1076.08617468664	255.774793061369
gene:Smp_040770	9.15154618752467e-11	0.999999999908485	0.639820454950389	0.639722585309884	936.339434463717	1463.67043893611
gene:Smp_040790	0	1	0.320866070396456	0.320845537920469	4220.69817346458	13154.9436291535
gene:Smp_040800	0.799245546917059	0.200754453082941	0.943933239391231	0.943926268709025	3019.54865236127	3198.92486648169
gene:Smp_040960	0	1	0.645205554976422	0.644965751470068	379.508676570658	588.422293816566
gene:Smp_040970	0	1	1.90587033497989	1.90599762132639	5394.86998483119	2830.46571752838
gene:Smp_040990	0	1	0.38576201533711	0.384855080120502	103.655165219516	269.351561206512
gene:Smp_041050	5.5870530424329e-11	0.999999999944129	0.757347350364307	0.757264512316977	882.212249738137	1165.00200754652
gene:Smp_041060	0	1	2.57731394285916	2.5781043509942	2046.16346989761	793.663642072921
gene:Smp_041100	2.82852005373257e-07	0.999999717147995	0.695533196495177	0.695309417822178	376.238331017918	541.113593861836
gene:Smp_041190	4.10513249116118e-06	0.999995894867509	1.28699728814502	1.28707033114747	2011.28916095558	1562.68561365961
gene:Smp_041370	0	1	4.63338084741391	4.63629965191247	2295.35962236061	495.076554945554
gene:Smp_041390	7.75768264826837e-06	0.999992242317352	0.78279385459597	0.782723679702193	963.539508208148	1231.01128272746
gene:Smp_041430	4.47003498216247e-07	0.999999552996502	0.847972089717754	0.847950194406528	2341.61725285105	2761.50508460935
gene:Smp_041450	1.78331793776465e-11	0.999999999982167	0.597448725007481	0.597402844067671	2084.6316179546	3489.49735446861
gene:Smp_041460	0	1	1.65889685006029	1.65915241607576	1701.27013094768	1025.38110600312
gene:Smp_041480	0.311373542163002	0.688626457836998	1.09712489197276	1.09714956206985	1717.90131838548	1565.78501808716
gene:Smp_041490	0.000222213073447164	0.999777786926553	0.645183684863515	0.644874654609895	294.468171645234	456.634046312183
gene:Smp_041500	7.1494976605635e-10	0.99999999928505	0.694662898316228	0.694543306054942	705.252915012552	1015.42403969797
gene:Smp_041540	3.33066907387547e-16	1	0.116572605450291	0.11646063017678	365.419061805731	3137.78052415422
gene:Smp_041550	0	1	7.05981364451905	7.07492014799256	1128.72521070785	159.530346335657
gene:Smp_041570	0	1	44.171302796783	52.8970026358119	104.078120328931	1.95775082031702
gene:Smp_041600	0	1	0.41194026816043	0.411879699479281	1590.43600007812	3861.42333135584
gene:Smp_041630	0	1	1.79483613898142	1.79544355952569	934.394890135441	520.421224461484
gene:Smp_041650	0	1	0.181964594084504	0.181899189913499	904.831763203434	4974.40337497833
gene:Smp_041700	0.000119033721380779	0.999880966278619	2.06151079375796	2.07250030373052	79.6088511498977	38.4068103650373
gene:Smp_041730	0	1	0.39028102685467	0.390188155165206	1018.80577716058	2611.07842919441
gene:Smp_041740	0	1	0.519906128267592	0.519883825534269	4450.90800322332	8561.36041511004
gene:Smp_041750	0.997283354058291	0.00271664594170869	1.21381370312401	1.21393255622988	868.53990214446	715.474478678062
gene:Smp_041760	0	1	1.93067021968627	1.93096957827547	2387.55246228013	1236.44783400298
gene:Smp_041770	0	1	2.18267975443844	2.18286588834799	5516.23991862194	2527.05771775003
gene:Smp_041830	0.092925540834124	0.907074459165876	1.11811203380992	1.11815090231276	1351.3528340952	1208.55928282226
gene:Smp_041880	0	1	0.00881834842945156	0.00847563108622234	9.73909793959357	1150.24038730642
