	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ES.RNA.juv.f.1.SmLE.PZQ.ES.RNA.juv.f.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.f.1.SmLE.PZQ.ES.RNA.adu.f.1_rsem.isoforms.results_Mean
transcript:Smp_040960.2	0.0130890820756772	0.986910917924323	0.662717097410999	0.660535514982515	44.0695866543142	66.7231061759502
transcript:Smp_040970.1	0	1	3.27244074821997	3.27466198794473	1446.03648903957	441.576488731664
transcript:Smp_040970.2	0	1	3.38521636197901	3.38646572128315	2790.64242578907	824.050438069835
transcript:Smp_040970.3	3.96178867489994e-08	0.999999960382113	0.750391085658446	0.750321299078768	1158.37811468921	1543.84610019529
transcript:Smp_040990.1	0	1	0.389256537630475	0.38826960863308	103.701031991498	267.100867514501
transcript:Smp_041050.1	9.69538893613731e-11	0.999999999903046	0.764067462667073	0.763979293507684	882.401920456335	1155.010728906
transcript:Smp_041060.1	0	1	2.59519700392904	2.59607039058594	2046.63668697114	788.353325737558
transcript:Smp_041100.1	4.21256871653286e-05	0.999957874312835	0.701099222083768	0.700858854615935	376.174209493325	536.737459229107
transcript:Smp_041190.1	0.528125007486565	0.471874992513435	0.913280505693973	0.913098172258155	187.440470473764	205.280598720821
transcript:Smp_041190.2	1.33245284774652e-05	0.999986675471523	1.33466025116123	1.33477224664971	1721.57873673089	1289.78962016149
transcript:Smp_041190.3	8.30322998135458e-08	0.9999999169677	1.8826176618541	1.88964457312261	102.438807862504	54.2059141034701
transcript:Smp_041370.1	0	1	21.6756459977851	21.9799937366141	644.50824063763	29.3129492401537
transcript:Smp_041370.2	0	1	7.42501295717071	7.49769858261164	286.059853552432	38.1443550198022
transcript:Smp_041370.3	0	1	3.21942885299837	3.22168891109953	1365.5911261211	423.867402134097
transcript:Smp_041390.1	0.000326029751280266	0.99967397024872	0.788923492947476	0.78884891756755	963.723373276954	1221.6857541739
transcript:Smp_041430.1	0.00018975468582294	0.999810245314177	0.855028455714522	0.85500561327605	2342.2112008403	2739.41201603311
transcript:Smp_041450.1	1.50302403856273e-09	0.999999998496976	0.601875267652956	0.601825662113298	2084.85683907496	3464.22718748382
transcript:Smp_041460.1	0	1	1.67211761310273	1.6724027287083	1701.69312159771	1017.50993846126
transcript:Smp_041480.1	0.199779999517028	0.800220000482972	1.25455483005837	1.25469505745344	983.107219907984	783.540723395169
transcript:Smp_041480.2	0.656087327941708	0.343912672058292	1.09130212021535	1.09137626754619	580.057437783494	531.490871910744
transcript:Smp_041480.3	0.0019581040942187	0.998041895905781	0.649144730905243	0.648511791701819	155.158129346706	239.258015373344
transcript:Smp_041490.1	0.000192707128517156	0.999807292871483	0.651156603932424	0.650823720971833	294.378577058325	452.322279190337
transcript:Smp_041500.1	0.398325099947299	0.601674900052701	0.908890007745189	0.908800889939695	401.03112526622	441.276017328649
transcript:Smp_041500.2	0	1	0.539076619632108	0.538724700231247	304.548733105308	565.322781241655
transcript:Smp_041540.1	7.99360577730113e-15	0.999999999999992	0.117236407082771	0.117114266364008	365.342753540108	3119.61636904149
transcript:Smp_041550.1	0	1	7.09427241576142	7.11084354180669	1128.77078040972	158.730770173509
transcript:Smp_041570.1	0	1	43.5466986932169	52.8737262800191	104.097295666316	1.9589797370241
transcript:Smp_041600.1	0	1	0.415259792417349	0.415193884130065	1589.97314155966	3829.4855738355
transcript:Smp_041630.1	0	1	1.80827310970797	1.80894849078184	934.435733154604	516.558458370383
transcript:Smp_041650.1	0	1	0.183756617177834	0.183685105336559	904.960234964825	4926.73805236212
transcript:Smp_041700.1	0.000245727015191544	0.999754272984808	2.07493697645976	2.08708711868975	79.6904656035495	38.1774167541144
transcript:Smp_041730.1	1.98477226875937e-07	0.999999801522773	0.28299895211077	0.28148204106952	57.4187032277734	204.01261902595
transcript:Smp_041730.2	0	1	0.403522565211216	0.403414554782538	961.599028632957	2383.66460279492
transcript:Smp_041740.1	0	1	0.524233107338467	0.524208926130379	4451.82721029953	8492.47646558203
transcript:Smp_041750.1	0.921790471887048	0.0782095281129522	1.0622653839765	1.06230418374869	735.83277015285	692.675561640344
transcript:Smp_041750.2	4.19256740435969e-10	0.999999999580743	7.55254013694495	7.71707511896099	132.644751349724	17.1797706455895
transcript:Smp_041760.1	0.0435696190919995	0.956430380908	1.49514968448311	1.49537272617842	1432.89878384117	958.218513036427
transcript:Smp_041760.2	2.60951305008916e-09	0.999999997390487	8.69422671548295	8.74081711574761	623.06340058749	71.273198393998
transcript:Smp_041760.3	0.147734876479897	0.852265123520103	1.67804057958486	1.67952386238234	331.377822543965	197.300577102431
transcript:Smp_041770.1	0	1	2.20985648098859	2.21007737568999	5224.85021413323	2364.09737090235
transcript:Smp_041770.3	2.49877817970479e-06	0.99999750122182	2.03518825532955	2.03831630410951	291.152900984586	142.834807941517
transcript:Smp_041830.1	0.156024056436349	0.843975943563651	1.12682128854034	1.126866922173	1351.74626327858	1199.56045209199
transcript:Smp_041880.1	0	1	0.00891834804492482	0.00854351418263769	9.74047567585763	1141.26225254366
transcript:Smp_041890.1	0	1	0.536320868398268	0.53614109982187	596.889908721514	1113.31615410352
transcript:Smp_041980.1	0	1	0.194393259327637	0.194364056873121	2314.38952173567	11907.5389520498
transcript:Smp_042020.1	0	1	7.17382624966867	7.18237179448888	2239.74837679406	311.831052075952
transcript:Smp_042030.1	0.999992986673198	7.01332680207245e-06	0.805887944018334	0.805763436295355	542.218593176965	672.927699518807
transcript:Smp_042030.2	0.999999998799454	1.20054611908054e-09	10.995487245105	442.437675173095	4.41437675173095	0
transcript:Smp_042030.3	1.06013488256895e-05	0.999989398651174	1.81512984168794	1.81950014404844	146.472600953965	80.4970565303923
transcript:Smp_042050.1	0	1	0.361117038532581	0.360860091299211	387.27872628146	1073.22789917333
transcript:Smp_042050.2	0.242347117245393	0.757652882754607	0.452338626143611	0.444565834645109	13.5104086263298	30.402612874588
