	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.adu.f.1.SmLE.PZQ.ER.RNA.adu.f.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.f.1.SmLE.PZQ.ES.RNA.adu.f.1_rsem.genes.results_Mean
gene:Smp_054540	0.000143109919115703	0.999856890080884	1.11886580340748	1.11888809768881	3185.64432204474	2847.15079170479
gene:Smp_054560	0.721471099695732	0.278528900304268	0.787683686567233	0.787619336201459	1387.69532833183	1761.88850166004
gene:Smp_054600	0.991540256488467	0.00845974351153307	0.955503557925508	0.955485340413162	1246.2503652148	1304.31180641925
gene:Smp_054610	0.985601474470475	0.0143985255295252	0.974568296981673	0.97454678411355	615.207049487559	631.275290266656
gene:Smp_054620	0.992453674987862	0.00754632501213819	0.975047323964904	0.975007651743882	327.471807412652	335.866140896868
gene:Smp_054730	0.02315894223338	0.97684105776662	1.47274379041861	1.47507305805392	159.860566121804	108.37145626002
gene:Smp_054770	0.0931757194665683	0.906824280533432	0.733261624532058	0.733145388610482	898.419052375476	1225.43459302711
gene:Smp_054790	0.00454054689396732	0.995459453106033	1.24415159056776	1.24425746534216	1532.22668651537	1231.43664926243
gene:Smp_054800	0.992415508584042	0.00758449141595826	0.971493847590978	0.971485568741386	1786.28632696966	1838.71656933433
gene:Smp_054810	1	3.31903169932942e-18	0.949215376213678	0.949006550438016	123.234029085447	129.85636291242
gene:Smp_054820	1	1.27414480455555e-17	1.08161287327081	1.08171463930003	463.241769986692	428.246910978351
gene:Smp_054840	0.845285799629992	0.154714200370008	1.15089460278395	1.15098283517169	1051.13604896562	913.249535107503
gene:Smp_055050	0.989522862302137	0.0104771376978625	0.810889042543673	0.810879180646374	8303.48463380921	10240.1032400394
gene:Smp_055090	0.84929077040502	0.15070922959498	0.750016284102703	0.749845718514169	586.85844619353	782.642259929441
gene:Smp_055100	0.933756736673079	0.0662432633269215	0.792900387431687	0.792435844770363	188.644138263611	238.05865818681
gene:Smp_055130	0.000804287574621698	0.999195712425378	0.723214388286594	0.722637111390118	185.014030012754	256.030033228889
gene:Smp_055190	0.990758489518045	0.00924151048195503	1.05549920793298	1.05556840762785	452.072327861137	428.27330650506
gene:Smp_055200	0.924319487835021	0.0756805121649792	1.07666269237958	1.07667162302605	4935.51070780773	4584.04385844215
gene:Smp_055220	0.961745547706298	0.0382544522937024	1.07105835468356	1.07160603338783	74.2359869339186	69.2747787532455
gene:Smp_055240	0.975366766043681	0.0246332339563186	0.801850330021449	0.790145590055836	7.13310847740254	9.03024342766725
gene:Smp_055260	0.834930479696866	0.165069520303134	1.27477147853549	1.27487839019837	1749.69110947135	1372.43549984027
gene:Smp_055310	0.992969572141799	0.00703042785820111	0.960471194419972	0.960427608435915	465.126063637861	484.291012957498
gene:Smp_055340	0.975979111233544	0.0240208887664556	1.08342338632071	1.08351367881852	534.577853999756	493.373576460868
gene:Smp_055390	0.973560941451592	0.0264390585484082	1.05707704027231	1.05720033522824	261.339677497913	247.199226850548
gene:Smp_055400	0.835949976748857	0.164050023251143	0.883820922350023	0.883774337869599	1176.99036213738	1331.77834426741
gene:Smp_055420	0.861608999175891	0.138391000824109	0.780995018701436	0.780444404912426	165.756749926524	212.390459127034
gene:Smp_055440	0.950622583133566	0.0493774168664339	1.16196825924866	1.16593283653351	25.4263681063455	21.8063236417387
gene:Smp_055450	1	1.63441503523096e-18	1.0123364980086	1.01235714422538	323.01319124696	319.070270327057
gene:Smp_055600	0.736644862627167	0.263355137372833	1.11496342312544	1.11506117880457	700.259041563975	627.999525284266
gene:Smp_055630	0.98388142975376	0.0161185702462398	0.810265512813256	0.80080804728542	8.56923335743947	10.7032207106576
gene:Smp_055670	0.970368393650831	0.0296316063491687	0.878357384472594	0.878127905483395	248.560245545181	283.058382171897
gene:Smp_055720	6.15435724604652e-08	0.999999938456428	1.27991557123649	1.2801620659202	776.296095927992	606.402357149459
gene:Smp_055740	0.986725205357321	0.0132747946426785	0.968573096679272	0.968536819310759	448.044134740112	462.599294563485
