	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ES.RNA.juv.m.1.SmLE.PZQ.ES.RNA.juv.m.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.m.1.SmLE.PZQ.ES.RNA.adu.m.1_rsem.isoforms.results_Mean
transcript:Smp_000470.3	0.637839508890092	0.362160491109908	1.2634236360414	1.26704879559716	48.4488417979026	38.2354424535906
transcript:Smp_000480.1	0.709454859038626	0.290545140961374	1.23631702767493	1.23656285660236	625.638347925869	505.947577963266
transcript:Smp_000480.2	5.31019672678212e-13	0.999999999999469	1.93450548157978	1.93505685971855	1726.13834667885	892.030116552394
transcript:Smp_000500.1	1	3.9715351014186e-16	1.32350402516738	1.40137132016935	3.05429026402239	2.17663691765298
transcript:Smp_000510.1	0.999999998980716	1.01928448648663e-09	0.796426334040147	0.796222349550824	418.215868211665	525.252658662622
transcript:Smp_000580.1	0.74012688113893	0.25987311886107	0.861715992053781	0.861368665588542	180.4891772754	209.539272554593
transcript:Smp_000590.1	9.64943680514807e-11	0.999999999903506	0.658139577464478	0.658004862911315	878.841481205585	1335.62067804263
transcript:Smp_000600.1	0.534569181953064	0.465430818046935	1.17131511306754	1.17158647375664	389.281721611538	332.267412151482
transcript:Smp_000600.2	0.705978975492842	0.294021024507158	1.27618515085068	1.27792239507317	106.919123173691	83.6641914735504
transcript:Smp_000620.1	0.999999999999999	8.83835221621092e-16	0.630884120913468	0.607381541013358	5.01066050510638	8.25607357334219
transcript:Smp_000630.1	0.00684072893984322	0.993159271060157	0.422773460941942	0.420229334162399	50.1717707113109	119.405201728678
transcript:Smp_000640.1	4.07451850037432e-14	0.999999999999959	0.666658886477233	0.666395571124132	444.004218264426	666.282270693554
transcript:Smp_000650.1	0	1	0.586548325119206	0.586392201095654	817.315938237665	1393.81129692469
transcript:Smp_000650.2	0.391229544367143	0.608770455632857	2.1946054953702	2.21854066942964	58.2683689075306	26.2587854726203
transcript:Smp_000650.3	2.25014651030753e-05	0.999977498534897	3.21532461772418	3.25204385285778	103.254778144875	31.7438086253447
transcript:Smp_000660.1	1.29214861033233e-10	0.999999999870785	2.49200980748445	2.49224891418774	8185.07921424111	3284.20818849854
transcript:Smp_000670.1	2.66453525910038e-15	0.999999999999997	1.91753937979276	1.91799783980067	2020.32526512967	1053.34638195486
transcript:Smp_000680.1	1.20292568128733e-08	0.999999987970743	1.60352917520305	1.60478203170318	406.868804972002	253.531475997319
transcript:Smp_000690.1	1	2.86713893866252e-16	0.922703105452917	0.912898995550982	3.77816319393475	4.13959728556651
transcript:Smp_000700.1	2.14086082195308e-10	0.999999999785914	0.705674446068642	0.705583314976152	1199.38372245691	1699.85123112542
transcript:Smp_000710.1	0.752266280139771	0.247733719860229	0.909034444651183	0.90899173652021	1018.99993940894	1121.02322667146
transcript:Smp_000720.1	0	1	1.72637437649901	1.72682024510238	1480.64143252897	857.433869290042
transcript:Smp_000740.1	3.07541425659252e-09	0.999999996924586	1.29383775176266	1.29389389490134	3564.18653457647	2754.61814116474
transcript:Smp_000755.1	0	1	5.26200537301405	5.27380849042841	1002.28068967334	190.040642053542
transcript:Smp_000790.1	0.56193678252394	0.43806321747606	0.798085327898209	0.797903547074269	466.458457137522	584.607600520709
transcript:Smp_000790.2	0.00134992716554927	0.998650072834451	0.608304401665949	0.60794822031172	351.871291683644	578.791417501016
transcript:Smp_000810.1	0.991329210508544	0.0086707894914557	0.746539824803213	0.746313522397987	439.930503151057	589.474834386331
transcript:Smp_000820.1	0.491416397491445	0.508583602508555	1.76649070436915	1.7667024168342	3366.46925246285	1905.50573393743
transcript:Smp_000820.2	0.59776064742947	0.40223935257053	1.27947677287271	1.28138547525713	98.7405166041831	77.055425284587
transcript:Smp_000830.1	1	1.18380612512416e-16	0.982740040603922	0.982300823295734	20.3068749446413	20.6729460617531
transcript:Smp_000850.1	0.800476210512137	0.199523789487863	1.08370321194091	1.08374475968874	1149.13206505057	1060.3338261428
transcript:Smp_000870.1	0.495183320597906	0.504816679402094	1.38105216081013	1.38915552973117	34.3712581264654	24.7397543584042
transcript:Smp_000870.2	0.694372716725071	0.305627283274929	0.847118891631139	0.844746088180489	28.6364178436889	33.9012761153957
transcript:Smp_000870.3	0.000426875347822597	0.999573124652177	1.56860283040831	1.57047725429845	250.730757040339	159.648954852133
transcript:Smp_000870.4	0.20662380562619	0.79337619437381	2.98664634828376	3.09970180621148	28.6582393610754	9.23870879631944
transcript:Smp_000880.1	0.526951773700542	0.473048226299458	0.884138038980894	0.884122882190177	3557.10845107674	4023.32037944334
transcript:Smp_000900.1	0	1	0.378869252327419	0.377822027263122	117.935764591747	312.162811749823
transcript:Smp_000910.1	1.75055881650454e-05	0.999982494411835	0.552249626057957	0.550936449495849	98.8604284192439	179.448862287507
transcript:Smp_000950.1	0.999999999999837	1.63334069109534e-13	2.5165584273796	2.62296866932441	19.6652787887906	7.49114899155783
transcript:Smp_000980.1	0	1	0.723628815690082	0.723560725141751	1545.71769753348	2136.26915919657
transcript:Smp_000990.1	0	1	1.6992021956665	1.70002747340876	758.062367741373	445.907715800995
transcript:Smp_001000.1	0.000147322015051188	0.999852677984949	0.746831630449051	0.746656506066295	568.104346337681	760.867782115299
