	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.f.1.SmLE.PZQ.ER.RNA.juv.f.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ER.RNA.adu.f.1.SmLE.PZQ.ER.RNA.adu.f.1_rsem.genes.results_Mean
gene:Smp_196150	0	1	1.7358347322659	1.73630334699552	1226.07020879119	706.134010441945
gene:Smp_196160	2.55659637904415e-09	0.999999997443404	0.809308177270957	0.809254310439622	1288.31250659005	1591.97720349129
gene:Smp_196220	0.627432998801547	0.372567001198453	1.08801089487015	1.0881260767974	373.894115997208	343.61205260046
gene:Smp_196230	0.000169811332966563	0.999830188667033	0.623893948501206	0.623689643593225	516.321933952615	827.856775176678
gene:Smp_196260	0.00223364186469266	0.997766358135307	0.618331591854186	0.617943138884264	273.029332668509	441.841871940028
gene:Smp_196290	0	1	0.456944510144407	0.456850210806636	1183.13596542069	2589.77968912298
gene:Smp_196300	0	1	0.368145181045485	0.367837769357107	339.992552995272	924.317465310361
gene:Smp_196370	0	1	23.3092403804445	25.0239279364741	146.404537356613	5.84098141779747
gene:Smp_196400	0	1	17.1617976898882	17.6787312841096	248.552115064785	14.0499521012124
gene:Smp_196410	0.999999502344465	4.97655534706373e-07	22.4093086715104	985.199319239276	9.84199319239276	0
gene:Smp_196480	0	1	0.300548710798973	0.299768852717612	120.898639872576	403.329569059477
gene:Smp_196510	6.24788896175232e-08	0.99999993752111	1.20248641354392	1.20253338616859	2331.17712032094	1938.55332567063
gene:Smp_196600	2.84328116606503e-12	0.999999999997157	1.91910399578553	1.92035340036012	635.279464423224	330.809037945875
gene:Smp_196620	0	1	0.380315423640035	0.380183579085062	803.573063753784	2113.66115246708
gene:Smp_196690	0	1	4.47469056478921	4.4784507042176	1861.08660066858	415.557061822492
gene:Smp_196700	0	1	4.60322437277616	4.66906249027128	114.903888381309	24.6017691979385
gene:Smp_196790	0.271310497095812	0.728689502904188	1.58348558845161	1.58503906322296	267.718639425842	168.89980521417
gene:Smp_196810	0	1	12.8736261027061	12.9314321459611	1194.4887034124	92.3617257245546
gene:Smp_196840	0	1	18.6550322016904	18.6595858728639	32534.0138232283	1743.54551323042
gene:Smp_196880	3.48501255741374e-05	0.999965149874426	0.723593590240527	0.723500541795919	966.500963206836	1335.87146431473
gene:Smp_196900	0.999999999856263	1.43736773491157e-10	3.02815050257566	3.22719300741428	14.7779584893791	4.57229751223577
gene:Smp_196910	0	1	0.345569213547787	0.345094753988153	214.048170603712	620.278103861066
gene:Smp_196920	0	1	2.95351903680414	2.95642371760069	894.149188560121	302.436223535842
gene:Smp_196950	0	1	0.0353242231948208	0.0352164155601258	141.701774947047	4024.01608820593
gene:Smp_197070	0.00415366761527391	0.995846332384726	0.553270133370726	0.552902124483632	301.821020883039	545.89316715626
gene:Smp_197150	0.999999999984567	1.54331595930894e-11	8.25023059952011	334.29763841796	3.3329763841796	0
gene:Smp_197170	0.999999999998084	1.91613251648706e-12	1.60421033138452	28.7759270955494	0.277759270955494	0
gene:Smp_197180	0	1	0.660434677975819	0.660343614834998	1107.32651460049	1676.8995509119
