	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.f.1.SmLE.PZQ.ER.RNA.juv.f.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.juv.f.1.SmLE.PZQ.ES.RNA.juv.f.1_rsem.isoforms.results_Mean
transcript:Smp_343140.1	0.86877592105908	0.13122407894092	0.641518181096882	0.539720369256566	1.02118449844497	1.90059029301668
transcript:Smp_343150.1	0.0166411169105373	0.983358883089463	1.27403704729454	1.27417139814259	1410.04351223647	1106.63351302498
transcript:Smp_343150.2	0.979400346574724	0.020599653425276	0.823354080089052	0.82315737443561	401.049231544882	487.210602038419
transcript:Smp_343150.3	0.850983989247416	0.149016010752584	1.42081380396158	1.43076766804923	32.8075581873669	22.9270280865459
transcript:Smp_343150.4	0.00322293892945058	0.996777061070549	2.440407445782	2.4455443931473	372.034310950702	152.121489411198
transcript:Smp_343160.1	1	1.42419378381623e-17	0.885349898993801	0.884961808527561	141.832008267915	160.270372442194
transcript:Smp_343170.1	0.992241252314561	0.0077587476854393	0.87817546419921	0.877825736469641	165.892099321508	188.982065770044
transcript:Smp_343180.1	0.962335634519355	0.0376643654806449	0.925815033474128	0.925794801748959	1841.76511807605	1989.38885447258
transcript:Smp_343190.1	0.993443114782375	0.00655688521762501	1.05048501988377	1.05057384962803	323.933732258005	308.339320109864
transcript:Smp_343200.1	0.622273579823923	0.377726420176077	0.74665444675982	0.746180525964059	216.406468374199	290.022319048518
transcript:Smp_343200.2	0.945609969646293	0.0543900303537066	1.49424722043967	1.49700941299941	145.319470405802	97.069864123646
transcript:Smp_343210.1	0.983726727065334	0.0162732729346655	1.49631874748714	1.49681752744956	808.079413647892	539.86169366249
transcript:Smp_343220.1	1	3.53036416287825e-18	0.992699402073291	0.992633589990629	59.732121246265	60.175472110438
transcript:Smp_343220.2	0.959887843608099	0.0401121563919014	1.07588565621606	1.07697656666396	40.6358043235988	37.7306580437523
transcript:Smp_343240.1	0.977113501040964	0.0228864989590363	0.75888101698077	0.75758666655225	76.5586040258028	101.059101934256
transcript:Smp_343240.2	0.958110983222953	0.041889016777047	0.834619675930821	0.834072554684466	136.776414173596	163.988219825544
transcript:Smp_343250.1	0.908650315327532	0.0913496846724683	1.22536722042952	1.2288661794275	42.9332947833936	34.9354607037845
transcript:Smp_343260.1	0	1	0.645673861459659	0.645668665517014	23888.4101364075	36997.9448523996
transcript:Smp_343260.2	4.67524552405507e-09	0.999999995324754	0.637968620401662	0.637734328176182	534.636844464586	838.343560162883
transcript:Smp_343270.1	0.842545506869793	0.157454493130207	1.06508025662241	1.06509952955791	1951.31881097429	1832.05240996484
transcript:Smp_343270.2	0.971558851419756	0.0284411485802443	1.0429272485858	1.04315806013414	105.250277922714	100.895396742253
transcript:Smp_343280.1	0.349057982797288	0.650942017202712	0.833712766148337	0.833589016153376	607.711467477351	729.032076731891
transcript:Smp_343290.1	1	2.15752943260735e-16	0.819082800802428	0.818469240692762	130.927479692574	159.968497886796
transcript:Smp_343300.1	0.979336034308398	0.0206639656916018	1.0067528237557	1.00678430640528	117.152721786654	116.363210270811
transcript:Smp_343310.1	0.991680187778185	0.00831981222181521	0.995486233232186	0.995483214209258	807.49555770048	811.159436284173
transcript:Smp_343320.1	0.034806519498037	0.965193480501963	1.18911300157641	1.18921888676939	1152.34642738603	968.992796883334
transcript:Smp_343330.1	0.838991419826844	0.161008580173156	0.812262395256684	0.811942583266725	258.585358380584	318.479710614962
transcript:Smp_343340.1	1.82957479752943e-05	0.999981704252025	0.61568334316027	0.614529701625213	111.060845431104	180.731215823029
transcript:Smp_343350.1	4.12160459772881e-06	0.999995878395402	1.18063300658735	1.18067686389229	2638.29559615092	2234.56042043945
transcript:Smp_343360.1	1	1.89199442118871e-16	1.30438656329268	1.30685397292743	87.4581938531238	66.9203500353521
transcript:Smp_343370.1	1	4.25074718059621e-17	1.11394044179701	1.19681304470009	0.882754625380617	0.735943261008096
transcript:Smp_343380.1	0.987889392691565	0.0121106073084348	1.03532582160091	1.03534186645042	1236.73246997401	1194.51570213748
transcript:Smp_343390.1	0.921720511792317	0.0782794882076826	1.49122556003705	1.49899650087361	51.3999105639209	34.286217859054
transcript:Smp_343400.1	0.971083330486785	0.0289166695132148	0.845558640843106	0.844955040974256	117.287013541261	138.810419848629
transcript:Smp_343410.1	1	3.43070843795096e-18	0.942926380072427	0.942737921073021	154.888920031739	164.297509615645
