	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.f.1.SmLE.PZQ.ER.RNA.juv.f.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ER.RNA.adu.f.1.SmLE.PZQ.ER.RNA.adu.f.1_rsem.isoforms.results_Mean
transcript:Smp_154690.1	0.0183417849660619	0.981658215033938	1.48156790503958	1.48194103107749	935.228517133309	631.080237412021
transcript:Smp_154730.1	0	1	646.899849768151	32229.9934313802	322.289934313802	0
transcript:Smp_154730.2	0.785196780194685	0.214803219805315	1.22070887607334	1.22088890707086	731.867073366465	599.452464707274
transcript:Smp_154740.1	2.21887604636706e-05	0.999977811239536	14.7951821688013	18.2021360307257	36.0290244850399	1.96993380690075
transcript:Smp_154740.2	0	1	10.7444716612823	10.9645500652109	237.379315242071	21.6406207578255
transcript:Smp_154740.3	0.0223852043336649	0.977614795666335	10.0882597812051	11.3985512602184	38.6491192950992	3.38158182584321
transcript:Smp_154740.4	0.0663768200783529	0.933623179921647	3.94909751788325	4.17870976243849	26.2337432898838	6.27034603546365
transcript:Smp_154760.2	0	1	26.5779547896833	27.0980675236494	651.612591710934	24.0368288427668
transcript:Smp_154760.3	0	1	74.0465467239075	75.7152251638423	1620.67919450504	21.3950633937624
transcript:Smp_154760.4	0	1	28.3905299604907	28.4757321114987	4476.23922006833	157.185228643859
transcript:Smp_154760.5	0	1	11.7091260780809	11.7223323957278	4648.09369401789	396.506967537269
transcript:Smp_154780.1	0.630106901618237	0.369893098381763	0.885849331425872	0.885657569214364	257.7827813369	291.065004943027
transcript:Smp_154780.2	0.345340150221558	0.654659849778442	1.11823827044815	1.1250688817698	9.51285323477238	8.45424018038109
transcript:Smp_154780.3	0.175841115370375	0.824158884629625	1.3804205353637	1.38197214916582	165.669621105557	119.876367612809
transcript:Smp_154780.4	0.10941764167591	0.89058235832409	2.83630407304446	3.77415328234178	3.60343793019269	0.947416845547573
transcript:Smp_154830.1	0	1	0.113013136030334	0.112284534736983	66.8300363903743	595.263752943285
transcript:Smp_154830.3	0.00169316592428526	0.998306834075715	0.148675040202872	0.137857045722945	5.2947761457633	38.4702685850708
transcript:Smp_154840.1	0	1	3.91151243582866	3.91619671053138	1190.218309168	303.914546478284
transcript:Smp_154850.1	0	1	19.7154755416968	20.0973375280022	481.629890881224	23.955358108264
transcript:Smp_154870.1	0.999996993107424	3.00689257571897e-06	1.31240681385751	1.31280619271842	502.13081597348	382.484246872573
