	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.m.1.SmLE.PZQ.ER.RNA.juv.m.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.juv.m.1.SmLE.PZQ.ES.RNA.juv.m.1_rsem.genes.results_Mean
gene:Smp_340890	0.915716771876342	0.0842832281236579	0.49005839965821	0.387966184441348	0.877290162382301	2.2770296380597
gene:Smp_340900	0.997673748009348	0.00232625199065175	0.996561044489386	0.996560338363006	2222.23376927594	2229.90391863567
gene:Smp_340910	2.05244183093534e-07	0.999999794755817	1.18696783386924	1.18699687270213	3499.29092248726	2948.01876314349
gene:Smp_340920	0.999999999999889	1.10692396119323e-13	1.09745824430867	1.09750387565552	1073.25096950868	977.900869670171
gene:Smp_340930	0.89514976036098	0.10485023963902	0.640481942837083	0.633449005360405	14.8165322880427	23.3960392590041
gene:Smp_340940	0.969294602986321	0.0307053970136788	0.852240258362979	0.851932839808586	187.478823580916	220.064652390488
gene:Smp_340960	0.0915934294838109	0.908406570516189	1.23097703758261	1.23099266943195	8328.31933655268	6765.52934346
gene:Smp_340970	0.996995132366563	0.00300486763343725	0.997666204441288	0.997664846072927	784.816933296789	786.653914626315
gene:Smp_340980	1	1.57058968864634e-16	0.981566239022198	0.981550627159319	530.649453904569	540.62380860989
gene:Smp_340990	0.957325842747544	0.042674157252456	1.23304456979022	1.23339516160564	375.380633766951	304.34552647885
gene:Smp_341010	0.994980617988947	0.00501938201105293	0.958507195187239	0.958496951983968	1777.744209233	1854.72120759881
gene:Smp_341020	0.101774113434099	0.898225886565901	1.34890213346201	1.34906003706926	1364.84598536099	1011.69885494914
gene:Smp_341030	0.999999999999994	5.88842136782733e-15	0.918903687434361	0.918857029547314	731.243503239292	795.819470444986
gene:Smp_341040	1	2.0385104158411e-16	1.02919119362016	1.02922611065039	393.965601698371	382.778191653443
gene:Smp_341050	0.993768887348191	0.00623111265180881	1.03867196167647	1.03868832942207	1123.65425564192	1081.80080292597
gene:Smp_341060	0.999999999999999	1.06080073502303e-15	1.06872470508957	1.06877615764315	653.627087043289	611.565288584919
gene:Smp_341070	0.987671335927947	0.0123286640720532	1.07859040277507	1.07883195294922	160.706304626747	148.962510674526
gene:Smp_341080	0.999800535246724	0.000199464753275933	1.05542049993459	1.05542101042787	52462.6271855484	49707.771697732
gene:Smp_341090	0.982060453332804	0.0179395466671957	0.909403857222165	0.909203813575775	188.52421258816	207.35188055204
