	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.adu.m.1.SmLE.PZQ.ER.RNA.adu.m.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.m.1.SmLE.PZQ.ES.RNA.adu.m.1_rsem.isoforms.results_Mean
transcript:Smp_064050.1	0.00271870491271275	0.997281295087287	1.18850752860267	1.18866178665529	803.559290128809	676.018538269011
transcript:Smp_064150.1	0.970065676564553	0.0299343234354472	1.16124535076475	1.16136618871953	857.298615183179	738.17974885812
transcript:Smp_064240.1	0.992625319921701	0.0073746800782994	1.02129843554007	1.02131106985927	952.430978928731	932.55697889309
transcript:Smp_064250.1	0.937515120737807	0.0624848792621926	1.15487205477315	1.15524603110898	264.649567279675	229.083682343679
transcript:Smp_064280.1	1	4.69608369774744e-18	0.910878256972506	0.910740483080182	325.898404424913	357.839914964437
transcript:Smp_064320.1	0.939609855617085	0.0603901443829146	1.12924793074712	1.12943077928378	441.637629131486	391.025588220424
transcript:Smp_064320.2	0.977568997650331	0.0224310023496694	0.958366260514058	0.95820290390723	135.088452337837	140.981487071215
transcript:Smp_064330.1	0.981290453061319	0.0187095469386808	0.807049423448484	0.806988282004049	1408.83037505449	1745.79028789987
transcript:Smp_064350.1	0.967951383376852	0.0320486166231478	1.11915686113856	1.11924880703858	802.402158960965	716.910271806293
transcript:Smp_064360.1	0.992095231116664	0.00790476888333603	1.03111230045323	1.03113881304175	669.383208251731	649.168558488251
transcript:Smp_064380.1	0.804283751770197	0.195716248229803	0.524238769861473	0.520526341140683	36.8926718181148	70.8849171280097
transcript:Smp_064380.2	0.953688065521032	0.0463119344789678	1.12683846249083	1.12694678755904	729.967681918327	647.73813680374
transcript:Smp_064380.3	0.990300317959191	0.00969968204080902	0.903007209699698	0.897578782642735	8.86201361283864	9.8743842840367
transcript:Smp_064380.4	0.947619309228107	0.052380690771893	0.777247069082531	0.753381852029978	3.88006956298277	5.15347659888677
transcript:Smp_064390.1	1	5.30166543357574e-19	1.0567946746008	1.05688512212166	367.122563862642	347.362250945908
transcript:Smp_064400.1	0.987435631097206	0.0125643689027939	1.01571397270945	1.01574221599282	312.625642383792	307.78034036526
transcript:Smp_064430.1	0.995826495867044	0.00417350413295599	1.00871777039926	1.00871966242346	2571.1754459743	2548.94938064398
transcript:Smp_064460.1	0.980865243419379	0.0191347565806212	1.01152597475324	1.01185695445864	19.4830409202723	19.254621184228
transcript:Smp_064500.1	0.999999999999995	4.79340506221304e-15	0.842822552312374	0.842651030718865	427.162572771835	506.928883593858
transcript:Smp_064500.2	0.927470446910223	0.0725295530897767	0.781029670388762	0.765263078492192	5.86952688797847	7.67301392452251
