	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.m.1.SmLE.PZQ.ER.RNA.juv.m.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.juv.m.1.SmLE.PZQ.ES.RNA.juv.m.1_rsem.isoforms.results_Mean
transcript:Smp_303510.3	0.015960991661084	0.984039008338916	0.855387665266096	0.855304360612796	765.152420954325	894.598347847207
transcript:Smp_303520.1	0.99346228004633	0.00653771995366971	0.95845765548435	0.958440491448771	1195.44606593284	1247.28294786555
transcript:Smp_303530.1	1	4.28630454298575e-17	0.762658580896273	0.746738366239223	5.72706738240524	7.67283463363302
transcript:Smp_303540.1	1	8.4666038989098e-17	0.825197538984294	0.757654410210167	1.0004955230055	1.32371562204092
transcript:Smp_303540.2	1	4.42223801715573e-16	2.56947987524689	83.4516175995647	0.824516175995647	0
transcript:Smp_303560.1	0.980841308739207	0.0191586912607931	1.23506200191815	1.23673226900595	89.6851725124201	72.5159417582066
transcript:Smp_303570.1	0.935178437646636	0.0648215623533638	0.395939590948015	0.379402457498933	7.13195568104706	18.8142209292151
transcript:Smp_303570.2	0.990837251138589	0.00916274886141095	0.894500801570798	0.892278913653284	21.8235579091971	24.4594316710941
transcript:Smp_303580.1	0.98819834568796	0.0118016543120404	0.849129465423906	0.84870996396926	157.28942273347	185.329432092689
transcript:Smp_303590.1	0.969746190161288	0.0302538098387118	1.54390642173474	1.55639240781616	34.9295505006375	22.4390625405085
transcript:Smp_303590.2	1	1.05140735230397e-16	1.10628355509688	1.10641272180177	469.159231224445	424.035405461729
transcript:Smp_303600.1	1	7.92906870852912e-17	1.44573725989063	1.47176748036079	12.9778470343901	8.81465960669698
transcript:Smp_303600.2	0.982702824877692	0.0172971751223076	0.742974907920293	0.738926326136899	24.165230095329	32.7066988645768
transcript:Smp_303620.1	0.94609880969252	0.0539011903074799	0.452384628139695	0.45184641349458	236.913330416691	524.334828996928
transcript:Smp_303630.1	0.993935073137283	0.0060649268627167	1.02627782270554	1.02630327275656	546.091418416789	532.095307381518
transcript:Smp_303640.1	0.995607492171826	0.00439250782817439	1.03516108326987	1.03519884088121	496.786333426047	479.894259748931
transcript:Smp_303640.2	0.96625251277433	0.0337474872256704	1.32152507403338	1.32576500460644	51.8007074661212	39.0698575057436
transcript:Smp_303640.3	0.976696887441118	0.0233031125588823	1.29345223757187	1.29618880268449	71.6203007558713	55.2522431296432
transcript:Smp_303650.1	0.851724075225564	0.148275924774436	0.52581538759548	0.517513788027628	15.2236674456444	29.4262542565361
transcript:Smp_303650.2	0.999999999991283	8.71727057797324e-12	19.3686702638932	965.986299153893	9.64986299153893	0
transcript:Smp_303660.1	0.102399157578291	0.897600842421709	0.28629058889261	0.261419280465033	3.85595927843254	14.778347942644
transcript:Smp_303670.1	0.999999999999999	9.94795978016728e-16	1.32118407622128	17.8731992358299	0.168731992358299	0
transcript:Smp_303680.1	1	1.902488002748e-17	0.901671145344775	0.898810571218461	15.9118238884581	17.7043264646675
transcript:Smp_303690.1	0.844488565578454	0.155511434421547	0.560584015427479	0.557310278194048	38.5401396644896	69.1617723014377
transcript:Smp_303690.2	0.00162438414004218	0.998375615859958	0.415597844116253	0.412794226816265	44.3328459437959	107.411187272401
transcript:Smp_303690.3	0.999999999760812	2.39187613423855e-10	3.41351458931216	3.57862551735542	26.947973010194	7.52305225133355
transcript:Smp_303760.2	1	5.4666465822248e-17	0.685365758277958	0.668268391689906	6.32759600829351	9.47360881212278
transcript:Smp_303770.1	0.953403817751858	0.0465961822481416	1.42015919514264	1.42835064712294	37.7458879509238	26.423206738817
transcript:Smp_303770.2	0.999999999999999	8.68802488304117e-16	4.32802741837006	175.835783744693	1.74835783744693	0
transcript:Smp_303860.1	0	1	2.80423869265335	2.82383536316336	133.972458965639	47.43697963395
transcript:Smp_303900.1	0.985951588837964	0.0140484111620358	1.02748073713645	1.02763531075925	94.1418549511949	91.6099102594405
transcript:Smp_303910.1	0.994564322839878	0.00543567716012188	1.09865954023531	1.09879849726724	402.033907021953	365.884118004213
transcript:Smp_303910.3	0.994564322839878	0.00543567716012188	1.09865954023531	1.09879849726724	402.033907021953	365.884118004213
transcript:Smp_303920.1	0.971871259533403	0.0281287404665966	0.797765759245595	0.79184818205431	13.9359964727195	17.6019574291868
transcript:Smp_303940.1	0.994376728480236	0.00562327151976433	1.01627245997092	1.01629028048746	478.231836583551	470.566021207408
