	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ES.RNA.juv.m.1.SmLE.PZQ.ES.RNA.juv.m.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.m.1.SmLE.PZQ.ES.RNA.adu.m.1_rsem.genes.results_Mean
gene:Smp_176960	0.982313942538485	0.0176860574615148	0.674455157505923	0.673967293008772	220.796088946156	327.611371595672
gene:Smp_176980	0.0321213502842784	0.967878649715722	0.426322663837858	0.41383422080497	9.32354049182625	22.5438150848693
gene:Smp_177010	0.999999999999902	9.80250879211041e-14	0.741363360887591	0.739969793556679	67.4174448901241	91.1118883219987
gene:Smp_177020	0.828773114018359	0.171226885981641	1.15292253256597	1.15307987496166	550.221862105607	477.174516054365
gene:Smp_177040	0.999999999999999	1.04465079238747e-15	1.05995588947827	1.06001587270015	520.195631172014	490.742680756474
gene:Smp_177060	0	1	0.562006876305637	0.561883590028095	980.065472636241	1744.25783417404
gene:Smp_177080	0.899928783712048	0.100071216287952	1.02707148629443	1.0270943145499	598.002581583711	582.227262062714
gene:Smp_177100	0.378782554164476	0.621217445835524	0.539098912328179	0.373958656519425	0.502435242510801	1.36029918569136
gene:Smp_177120	0.835149526811544	0.164850473188456	1.03545277266292	1.03552417081407	252.445071780986	243.784475200439
gene:Smp_177180	1.43685063846988e-10	0.999999999856315	0.670974238862723	0.670750421462626	484.115133473469	721.756424563393
gene:Smp_177290	8.13868400451057e-08	0.99999991861316	0.158308684432947	0.15205327892502	10.0350889666415	66.0529552855278
gene:Smp_177720	0.999999999999978	2.20303944549331e-14	0.544347628858194	0.277690241148063	0.222970671583267	0.828958800352829
gene:Smp_177780	0.999999999999995	5.2018974037086e-15	0.715952057856943	0.708319546886703	12.9323773055037	18.2619471210271
gene:Smp_177790	4.24546360289213e-08	0.999999957545364	0.540326703439585	0.540118476843363	585.403494548733	1083.85126312525
gene:Smp_178230	0.999999999999999	7.97151840322552e-16	1.01719283160148	1.01731476086669	70.4196318842794	69.220915143979
gene:Smp_178360	1.75970349403087e-13	0.999999999999824	4.4730803747547	4.51290748401186	193.210454159799	42.805070959095
gene:Smp_178410	1	3.2794491692883e-16	1.01245285894475	1.01246582954949	477.244287185727	471.368167298831
gene:Smp_178420	0.999999999999998	2.01881593866182e-15	0.982878858805816	0.982205179395291	12.2458171823751	12.4678584347525
gene:Smp_178490	0.73136276922749	0.26863723077251	0.873220894761126	0.873079131141782	383.341455910232	439.069852256804
gene:Smp_178700	0.999999999999994	5.52452754026918e-15	0.918568016801765	0.918487923246738	458.481734814656	499.171016113904
gene:Smp_178710	1.04271998773164e-05	0.999989572800123	1.68780550808642	1.69124729452012	165.929380916574	98.1065684369401
gene:Smp_178740	0.0355623887324152	0.964437611267585	1.77987029117212	1.78228817250549	282.234793071544	158.350919084578
gene:Smp_178750	0.971659710704894	0.0283402892951056	0.988925620056301	0.988916960764749	620.941245062907	627.900400669752
gene:Smp_178760	0.466096638987031	0.533903361012969	2.20346908508835	2.36102231191174	8.84458776757289	3.74031939465378
gene:Smp_178780	0.999999999999996	4.42108696776257e-15	1.09014971888795	1.10825505770952	2.6993060189656	2.43465928679365
gene:Smp_178810	7.31165580847293e-06	0.999992688344192	0.874698989609684	0.874660840236476	1410.47174190164	1612.59419698257
gene:Smp_178850	1.75212236013245e-05	0.999982478776399	1.44049407031809	1.44063911259154	2148.12360504405	1491.08765677527
gene:Smp_178990	0.000788670465023733	0.999211329534976	1.27056672468197	1.27082099583509	663.919999913418	522.431793210328
gene:Smp_179000	3.99680288865056e-15	0.999999999999996	1.44280962326095	1.44324646952447	718.263011578533	497.668689500066
gene:Smp_179010	9.83630987771988e-09	0.99999999016369	0.567810600093904	0.567283965326077	228.56341207093	402.91591725124
gene:Smp_179070	0.184512142987714	0.815487857012286	1.19467851678586	1.19477143492144	1229.02143831798	1028.66494350398
gene:Smp_179080	3.31172755885234e-10	0.999999999668827	0.60930923570184	0.608736223040808	203.768655175286	334.746906952826
gene:Smp_179110	4.65324509235643e-06	0.999995346754908	0.406516810877527	0.401441118775046	23.0360036468272	57.3981791051939
gene:Smp_179130	8.66207056782198e-06	0.999991337929432	0.627551119042309	0.626362473336003	96.3508445781609	153.831982366765
gene:Smp_179180	0.813520125623243	0.186479874376757	0.811963520275153	0.811935850601319	2709.06114050457	3336.54810184787
gene:Smp_179200	0.999999999999975	2.44832176257549e-14	0.442096064105662	0.381973792516898	1.73027639911567	4.54600994939642
gene:Smp_179250	0.504491351266995	0.495508648733005	0.65829802914199	0.6577548143925	203.132402971436	308.832137718228
gene:Smp_179270	3.69126045773882e-06	0.999996308739542	1.42592907781424	1.4262616621891	896.789332667403	628.766161094417
gene:Smp_179290	1.75415237890775e-14	0.999999999999982	2.54619680297002	2.55051866287056	447.995361914874	175.642649963616
gene:Smp_179300	0.934093426799646	0.0659065732003542	0.910013090327201	0.90999728581116	2543.88307198977	2795.48523021068
gene:Smp_179320	0.772626265570523	0.227373734429477	1.52924862202626	1.5299882697633	537.496256648534	351.303972316723
gene:Smp_179350	0	1	2.15321314142489	2.15465436424893	846.469967099046	392.85113872566
gene:Smp_179360	0	1	2.95869262426907	2.95990011550331	2357.31779272782	796.411399621106
gene:Smp_179380	0.999999999999997	2.70083749671887e-15	0.868374977500961	0.867764934642215	91.916521624019	105.924819389678
gene:Smp_179390	0.999999999999945	5.52649034287965e-14	0.571563238934041	0.025938605396508	0	0.37552573845571
