	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.m.1.SmLE.PZQ.ER.RNA.juv.m.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ER.RNA.adu.m.1.SmLE.PZQ.ER.RNA.adu.m.1_rsem.isoforms.results_Mean
transcript:Smp_346130.1	0.911192317256876	0.0888076827431242	1.0115543965092	1.01157194729124	381.907573201681	377.538600694561
transcript:Smp_346140.1	0.999999999999998	1.74643910608081e-15	0.52950983082275	0.516802664708929	10.9635882642549	21.2236139374114
transcript:Smp_346150.1	0.117654137218419	0.882345862781581	0.667594474517508	0.666928374477692	190.856645319709	286.177621675546
transcript:Smp_346160.1	0.31844118309254	0.68155881690746	1.38789986043121	1.39063199725101	113.217382543347	81.4115283174663
transcript:Smp_346160.2	0.0873290406798914	0.912670959320109	0.77743567968958	0.777238404236272	502.863575446003	646.990421884885
transcript:Smp_346170.1	0.00326988245750293	0.996730117542497	0.489479357936794	0.483116350164825	22.2192422888403	46.0021920553017
transcript:Smp_346170.2	0.469597420692789	0.530402579307211	0.363275618160129	0.321918166336221	2.83226956076275	8.81916796250075
transcript:Smp_346170.3	0.0509150396525757	0.949084960347424	2.33641977688587	2.55316323648661	9.0181246319296	3.52605460979187
transcript:Smp_346170.4	0.191436492319567	0.808563507680433	0.397764762616469	0.313839973701581	1.28153516360681	4.10526660665248
transcript:Smp_346180.1	0.883464688755321	0.116535311244679	0.979877797021826	0.979821679422842	201.476317481805	205.625700570015
transcript:Smp_346190.1	0.999999999999955	4.46140708055876e-14	1.33733957454545	1.33853132795383	217.275877963855	162.321559542961
transcript:Smp_346200.1	0.940073607475682	0.0599263925243179	1.00732159945067	1.00732605995724	948.220504552027	941.324233517471
transcript:Smp_346200.2	0.00088672542736723	0.999113274572633	3.22818329006601	3.38798567174736	27.0813907945791	7.98631209201857
transcript:Smp_346220.1	0.898510307866095	0.101489692133905	1.03643377443033	1.0376391965549	17.9759526769766	17.3235324423868
transcript:Smp_346230.1	0.483016215041729	0.516983784958271	0.594844903354656	0.593964404805831	156.728307216034	263.875017263403
transcript:Smp_346240.1	1	5.43233414237655e-17	2.81918774451017	3.4229816343543	5.90446474747766	1.7178692611488
transcript:Smp_346250.1	0.999999999999939	6.09943051902378e-14	1.59644773150379	1.60327385011301	80.3293550354602	50.0995648942303
transcript:Smp_346260.1	0.900915491340214	0.0990845086597861	0.870335460490034	0.870049061316865	225.889503192999	259.629959672031
transcript:Smp_346260.2	0.937549218095469	0.0624507819045308	0.920316944997279	0.920260343317595	742.956847626003	807.334196694994
transcript:Smp_346270.1	0.811250112674965	0.188749887325035	1.14838848866397	1.14852371818859	722.744375044882	629.279899371675
transcript:Smp_346270.2	0.242251954471977	0.757748045528023	1.9370583497827	1.94627458761904	113.475178232704	58.2989246268871
transcript:Smp_346280.1	0.705143182968429	0.294856817031571	1.11053011601683	1.11348820941114	23.8503295538718	21.4184528136047
transcript:Smp_346280.2	0.723857257211023	0.276142742788977	0.804659599870548	0.802528854596599	42.1832779136984	52.5654029553334
transcript:Smp_346290.1	0.82946409882519	0.170535901174809	1.18634125081754	1.23928096627508	2.49160798235848	2.00859630740364
transcript:Smp_346300.1	0.111628073585904	0.888371926414096	0.530828378877884	0.528952983968497	75.878880183144	143.459991630983
transcript:Smp_346310.1	0.625093591088985	0.374906408911015	0.71392815475518	0.712360494386956	74.5395516006078	104.641440089703
transcript:Smp_346320.1	0.117900011769772	0.882099988230228	1.70994985862961	1.73225369904615	31.6114365722788	18.2445065943232
transcript:Smp_346320.2	0.999936332921748	6.36670782524318e-05	1.01397339086085	1.01407767978768	77.9114280803899	76.8297033417641
transcript:Smp_346330.1	1	7.66348887160313e-17	0.886393532093185	0.886249581076852	401.102721274369	452.585668126569
transcript:Smp_346340.1	0.336064565783294	0.663935434216706	0.688361986648243	0.687567456728561	154.649839343975	224.92769568421
