	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.adu.f.1.SmLE.PZQ.ER.RNA.adu.f.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.f.1.SmLE.PZQ.ES.RNA.adu.f.1_rsem.isoforms.results_Mean
transcript:Smp_341240.1	0.574550029997485	0.425449970002515	1.15612318693937	1.15616952772668	2265.58130308545	1959.55669740309
transcript:Smp_341260.1	0.98037343482093	0.0196265651790703	0.931530706001642	0.931466456146387	577.350363933414	619.830210158548
transcript:Smp_341270.1	0.314949180573475	0.685050819426525	0.68801349406625	0.687664388490083	357.436961057066	519.78856313618
transcript:Smp_341280.1	1	2.41370596189662e-19	1.02541416856804	1.02592865389449	29.4665141493415	28.7215438919138
transcript:Smp_341290.1	0.966983643744636	0.0330163562553644	0.78048690182592	0.769509657555941	8.94029264990932	11.6211635104575
transcript:Smp_341300.1	0.976189203661658	0.023810796338342	1.14877330952396	1.14880665776314	2980.9428748204	2594.81555630785
transcript:Smp_341310.1	0.931654945341989	0.0683450546580107	1.18601257818527	1.18907123262283	42.0506345933409	35.3626786414338
transcript:Smp_341320.1	1	1.24957391986486e-18	0.829964051038036	0.828757862141507	67.943078231083	81.9838866769753
transcript:Smp_341330.1	0.624158391280692	0.375841608719308	1.11889080596226	1.11895190180768	1266.4866961368	1131.8498181841
transcript:Smp_341340.1	0.984407918960456	0.0155920810395438	0.928430183183712	0.928334855600874	405.37906671728	436.674095476398
transcript:Smp_341350.1	1	4.71116166711972e-18	2.00139871455204	2.92471776346111	1.83499522701687	0.620828468328342
transcript:Smp_341360.1	0.909709907378496	0.090290092621504	0.852356616745597	0.852111706643959	298.775743894021	350.631519843436
transcript:Smp_341370.1	1	2.31977372273771e-17	0.851932216014079	0.851698345408077	313.626637644974	368.238499408204
transcript:Smp_341380.1	0.927124012374204	0.072875987625796	0.962991740786123	0.961680394336206	15.7758519285853	16.4048630060004
transcript:Smp_341390.1	0.978910802009878	0.0210891979901224	1.08310969320504	1.08330695621755	265.458869240652	245.044153596094
transcript:Smp_341400.1	0.967070964465598	0.0329290355344024	0.904660134032062	0.904598510968011	814.025166611985	899.875592052198
transcript:Smp_341400.2	0.963068201500527	0.0369317984994726	0.973482726315679	0.973314718154657	89.3427315543689	91.7925073367594
transcript:Smp_341410.1	0.184814578341842	0.815185421658158	0.52178324209612	0.515992226089881	24.773876381414	48.0214918099113
transcript:Smp_341420.1	1	1.02865172737311e-18	1.14049173730206	1.14092708428885	214.14547413887	187.693032987735
transcript:Smp_341430.1	0.986230565984111	0.0137694340158891	0.946594141571634	0.946559878902988	858.157091588255	906.606803347744
transcript:Smp_341440.1	0.871238336627931	0.128761663372069	1.40684309652229	1.40971010295267	116.344757777483	82.5280746961914
transcript:Smp_341440.2	0.45892994659896	0.54107005340104	0.544215706575334	0.542882212385584	107.916946391804	198.79361509275
transcript:Smp_341450.1	0.952306045957171	0.0476939540428294	0.911005028985985	0.910376768892202	74.9972439372648	82.3814301202324
transcript:Smp_341460.1	0.909150620176675	0.0908493798233247	0.667579549865991	0.59875460611645	1.67208053664234	2.79929870010086
transcript:Smp_341470.1	1	1.86663602712949e-19	1.06340108077441	1.06351793379862	335.617526547242	315.572385478414
transcript:Smp_341480.1	0.925716224093971	0.0742837759060286	0.741330178707023	0.741135515442343	572.80638983754	772.880217648871
